Definition,Label
woman has accused a man of raping her several times in the past few months on the pretext of marriage,IPC_Section_376
woman has alleged that she was abducted and raped by 5 youths,IPC_Section_376
woman killed her only son,IPC_Section_302
woman set on fire on way to testify against alleged rapists or people who commited rape on her,IPC_Section_307_376
woman shot dead by her husband,IPC_Section_302
"woman sold for 10,000 and raped by people for whom she was forced to work as domestic help",IPC_Section_376
woman stabbed to death by her husband,IPC_Section_302
woman sustained injuries to her spine and had to go to a doctor,IPC_Section_307
woman threw her 3 children into and later jumped into it woman was saved ,IPC_Section_307
woman travelling with her children allegedly raped at a secluded 2 cab drivers and stabbed or attacked with the knife,IPC_Section_307_376
woman travelling with her children raped in  moving bus and thrown from the bus,IPC_Section_307_376
woman travelling with her children was allegedly raped on a moving bus by one its two drivers,IPC_Section_376
woman was abducted and raped by 6 persons,IPC_Section_376
woman was allegedly abducted and raped by 2 men,IPC_Section_376
woman was allegedly abducted and raped by a man,IPC_Section_376
woman was allegedly burnt alive by a man and she died,IPC_Section_302
woman was allegedly burnt to death by her father,IPC_Section_302
woman was allegedly burnt to death by her husband and in-laws,IPC_Section_302
woman was allegedly forced to drink liquor by her husband and gang-raped by his friends in front of their child,IPC_Section_376
woman was allegedly gang raped by 5 men,IPC_Section_376
woman was allegedly gang-raped by 3 men,IPC_Section_376
woman was allegedly killed by her husband,IPC_Section_302
woman was allegedly raped and murdered,IPC_Section_302_376
woman was allegedly raped and strangled to death or murdered or killed by 2 persons,IPC_Section_302_376
woman was allegedly raped at a civic-run hospital here by a man on the pretext of helping her fill a fee concession form,IPC_Section_376
woman was allegedly raped by 3 men in a government school premises,IPC_Section_376
woman was allegedly raped by 5 persons,IPC_Section_376
woman was allegedly raped by 9 people,IPC_Section_376
woman was allegedly raped by a boy,IPC_Section_376
woman was allegedly raped by a man at her friends place here after being offered a drink laced with sedatives,IPC_Section_376
woman was allegedly raped by a man who recorded the act and tried to blackmail her,IPC_Section_376
woman was allegedly raped by two youths,IPC_Section_376
woman was allegedly sexually assaulted by doctors,IPC_Section_376
woman was beaten to death by her step son,IPC_Section_302
woman was burnt alive allegedly by man after she resisted his attempt to rape her,IPC_Section_302_376
woman was first gang-raped and later murdered by her in-laws,IPC_Section_302_376
woman was found dead,IPC_Section_302
woman was gangraped by 10 men and was thrashed severely that injured her ,IPC_Section_307_376
woman was killed by 5 persons who hanged her body to show it as a case of suicide,IPC_Section_302
woman was set on fire alive by a land mafia group in Assam as they attempted to kill her over a land dispute,IPC_Section_307
woman was shot dead,IPC_Section_302
woman was stabbed She spent the next 24 hours with the knife inside her chest,IPC_Section_307
woman who has 4 children on Tuesday alleged rape by the man,IPC_Section_376
women was raped and tried to be attacked with knife on her abdoman,IPC_Section_307_376
young woman has been murdered by her lover,IPC_Section_302
youngster on charges of raping a girl,IPC_Section_376
youth first made an attempt to rape a widow and later set her ablaze or set her on fire when she resisted,IPC_Section_307_376
youth raped and murdered a girl,IPC_Section_302_376
youth was hacked to death by an unidentified person,IPC_Section_302
youth was shot at after a brawl at a crowded pub,IPC_Section_307
youth who opened fire at,IPC_Section_307
youths attacked person and they allegedly opened fire at that person,IPC_Section_307
